survey,country,publishedposts,num_posts,platforms,Plan Level,Products,Products_bins,country,publishedposts,num_posts,platforms,Products,Products_bins
2021-09-19,NZ,0,0-100,SHOPIFY,Free,306,100-1k,NZ,0,0-100,SHOPIFY,306,100-1k
2021-09-19,CN,0,0-100,SHOPIFY,Free,82,0-100,CN,0,0-100,SHOPIFY,82,0-100
2021-09-19,US,0,0-100,SHOPIFY,Free,17,0-100,US,0,0-100,SHOPIFY,17,0-100
2021-09-19,US,0,0-100,SHOPIFY,Free,1,0-100,US,0,0-100,SHOPIFY,1,0-100
2021-09-19,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-09-19,US,0,0-100,SHOPIFY,Free,33,0-100,US,0,0-100,SHOPIFY,33,0-100
2021-09-18,IN,8,0-100,SHOPIFY,Free,505,100-1k,IN,8,0-100,SHOPIFY,505,100-1k
2021-09-18,US,0,0-100,SHOPIFY,Free,579,100-1k,US,0,0-100,SHOPIFY,579,100-1k
2021-09-18,US,0,0-100,SHOPIFY,Free,636,100-1k,US,0,0-100,SHOPIFY,636,100-1k
2021-09-18,US,1,0-100,SHOPIFY,Free,11,0-100,US,1,0-100,SHOPIFY,11,0-100
2021-09-18,US,0,0-100,SHOPIFY,Free,14,0-100,US,0,0-100,SHOPIFY,14,0-100
2021-09-18,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-09-18,US,0,0-100,SHOPIFY,Free,22,0-100,US,0,0-100,SHOPIFY,22,0-100
2021-09-18,AU,0,0-100,SHOPIFY,Free,0,0-100,AU,0,0-100,SHOPIFY,0,0-100
2021-09-18,NULL,0,0-100,SHOPIFY,Free,0,0-100,NULL,0,0-100,SHOPIFY,0,0-100
2021-09-17,US,2,0-100,SHOPIFY,Free,16,0-100,US,2,0-100,SHOPIFY,16,0-100
2021-09-17,GB,2,0-100,SHOPIFY,Free,11,0-100,GB,2,0-100,SHOPIFY,11,0-100
2021-09-17,US,0,0-100,SHOPIFY,Free,14447,10-30k,US,0,0-100,SHOPIFY,14447,10-30k
2021-09-17,IT,3,0-100,SHOPIFY,Pro,29476,10-30k,IT,3,0-100,SHOPIFY,29476,10-30k
2021-09-17,US,3,0-100,SHOPIFY,Pro,286,100-1k,US,3,0-100,SHOPIFY,286,100-1k
2021-09-17,GB,0,0-100,SHOPIFY,Pro,194,100-1k,GB,0,0-100,SHOPIFY,194,100-1k
2021-09-17,IN,3,0-100,SHOPIFY,Pro,20,0-100,IN,3,0-100,SHOPIFY,20,0-100
2021-09-16,US,1,0-100,SHOPIFY,Pro,8763,1-10k,US,1,0-100,SHOPIFY,8763,1-10k
2021-09-16,US,0,0-100,SHOPIFY,Free,56,0-100,US,0,0-100,SHOPIFY,56,0-100
2021-09-16,RO,0,0-100,SHOPIFY,Free,125,100-1k,RO,0,0-100,SHOPIFY,125,100-1k
2021-09-16,GB,1,0-100,SHOPIFY,Free,255,100-1k,GB,1,0-100,SHOPIFY,255,100-1k
2021-09-16,US,1,0-100,SHOPIFY,Free,99,0-100,US,1,0-100,SHOPIFY,99,0-100
2021-09-16,GB,0,0-100,SHOPIFY,Free,238,100-1k,GB,0,0-100,SHOPIFY,238,100-1k
2021-09-16,US,4,0-100,SHOPIFY,Pro,105,100-1k,US,4,0-100,SHOPIFY,105,100-1k
2021-09-16,TR,5,0-100,SHOPIFY,Pro,5961,1-10k,TR,5,0-100,SHOPIFY,5961,1-10k
2021-09-16,US,0,0-100,SHOPIFY,Pro,2,0-100,US,0,0-100,SHOPIFY,2,0-100
2021-09-16,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-09-15,US,0,0-100,SHOPIFY,Free,75,0-100,US,0,0-100,SHOPIFY,75,0-100
2021-09-15,US,1,0-100,SHOPIFY,Free,38,0-100,US,1,0-100,SHOPIFY,38,0-100
2021-09-15,CA,4,0-100,SHOPIFY,Free,769,100-1k,CA,4,0-100,SHOPIFY,769,100-1k
2021-09-15,TR,0,0-100,SHOPIFY,Free,125,100-1k,TR,0,0-100,SHOPIFY,125,100-1k
2021-09-15,US,0,0-100,SHOPIFY,Free,168,100-1k,US,0,0-100,SHOPIFY,168,100-1k
