#,categories,brands,products,publishedPosts,scheduledPosts,plan
2828,2,3,168,592,0,Agency
964,56,34,3997,465892,12992,Agency
2779,23,1,292,0,0,Free
4428,8,6,17,0,0,Free
3502,6,1,11,1,0,Free
729,8,47,20000,3900,468,Free
3794,15,3,274,222,36,Free
2720,26,1,136,62,12,Free
1723,10,1,375,0,0,Free
2313,5,1,415,0,0,Free
3878,8,8,53,1,0,Free
1371,19,1,647,36,4,Free
3385,33,3,68,27,0,Free
394,3,6,12,11,0,Free
555,39,1,389,105,0,Free
1531,20,59,237,0,0,Free
3077,16,1,77,0,0,Free
167,167,36,975,819,0,Free
3725,29,1,235,3,0,Free
2224,5,2,136,1,0,Free
2780,82,5,287,0,0,Free
4833,8,2,12,4,0,Free
1949,23,16,248,0,0,Free
3917,0,1,2,0,0,Free
1381,127,5,457,8,0,Free
2225,5,2,123,3,0,Free
3921,2,1,6515,0,0,Free
4815,5,1,24,0,0,Free
4813,1,1,4,0,0,Free
1287,2,1,11,0,0,Free
2310,60,30,595,4,0,Free
3583,4,1,109,0,0,Free
2914,3,1,123,0,0,Free
2870,23,1,92,1,0,Free
3225,30,59,133,0,0,Free
1421,4,1,3,0,0,Free
1738,1,1,3,0,0,Free
1928,8,1,12,0,0,Free
1927,8,1,12,65,0,Free
3228,64,1,199,0,0,Free
3835,4,1,28,32,0,Free
4821,5,1,12,0,0,Free
200,18,1,127,0,0,Free
1586,19,3,126,0,0,Free
2736,9,3,19,0,0,Free
3991,15,2,206,10,0,Free
2520,28,8,566,18,0,Free
2826,6,9,102,0,0,Free
1395,45,390,3387,15,0,Free
2712,9,3,513,26,0,Free
2771,5,1,40,0,0,Free
4433,1,1,3,0,0,Free
3970,1,1,10,4,0,Free
3229,64,1,200,0,0,Free
4584,4,1,17,90,0,Free
2084,5,1,30,0,0,Free
510,17,4,18,8,0,Free
4072,7,14,64,0,0,Free
3885,11,2,19,0,0,Free
3719,23,2,758,0,0,Free
2603,6,1,48,44,0,Free
852,228,92,2887,0,0,Free
4222,26,4,101,0,0,Free
2822,164,15,3599,30,0,Free
3610,2,1,118,0,0,Free
1811,5,1,28,0,0,Free
2650,165,49,11511,0,0,Free
3766,57,1,2233,0,0,Free
1915,20,1,74,144,0,Free
3966,2,1,81,0,0,Free
2143,7,4,118,68,0,Free
3716,5,1,25,0,0,Free
3234,42,1,171,0,0,Free
1091,32,12,145,0,0,Free
4134,11,1,115,0,0,Free
3460,5,2,11,0,0,Free
2881,32,2,119,0,0,Free
4860,59,1,115,30,0,Free
3419,21,61,357,130,0,Free
2511,7,2,67,0,0,Free
2482,13,2,150,0,0,Free
4034,2,1,25,0,0,Free
2007,1,1,6,0,0,Free
4378,1,2,18,0,0,Free
3739,4,2,27,0,0,Free
806,282,18,8493,0,0,Free
3108,2,1,3,0,0,Free
1370,11,1,16,36,0,Free
1013,12,35,66,108,0,Free
4040,12,1,26,210,0,Free
3343,19,1,89,6,0,Free
1215,1,1,17,0,0,Free
1545,30,1,138,0,0,Free
2186,9,1,38,0,0,Free
4605,11,11,79,99,0,Free
2478,19,1,73,27,0,Free
2499,10,3,27,0,0,Free
1526,47,47,298,96,0,Free
1908,315,4,632,0,0,Free
946,12,23,74,0,0,Free
4872,371,1,434,0,0,Free
4088,4,1,0,0,0,Free
3097,10,1,43,0,0,Free
3427,4,1,9,0,0,Free
2928,17,1,115,4,0,Free
4626,5,1,23,0,0,Free
1727,12,1,157,0,0,Free
4487,9,1,24,0,0,Free
3570,2,1,1,0,0,Free
2222,6,1,20,14,0,Free
3085,3,1,12,0,0,Free
2989,13,11,76,0,0,Free
4848,15,1,189,0,0,Free
2211,19,1,338,0,0,Free
1957,34,2,122,0,0,Free
756,12,1,21,4,0,Free
1173,113,60,1430,0,0,Free
398,15,1,24,0,0,Free
2705,2,1,2,0,0,Free
2262,7,1,186,0,0,Free
2067,28,3,153,0,0,Free
3196,1,2,44,10,0,Free
3184,21,2,320,0,0,Free
3017,14,1,26,0,0,Free
3506,4,2,40,90,0,Free
3514,6,3,24,0,0,Free
4006,26,1,186,4,0,Free
3037,1,1,6,0,0,Free
2213,2,1,7,4,0,Free
3235,29,2,1441,20,0,Free
4781,4,2,56,6,0,Free
1519,158,3,471,392,0,Free
3973,7,1,24,0,0,Free
4274,10,3,64,11615,480,Free
4614,1,1,3,0,0,Free
1685,57,3,385,148,0,Free
2531,13,5,37,8,0,Free
1929,8,1,73,6,0,Free
965,154,542,4005,0,0,Free
3600,11,3,119,0,0,Free
4793,13,15,65,18,0,Free
4779,9,3,602,0,0,Free
3373,4,3,55,3,0,Free
570,13,94,13359,0,0,Free
4562,1,1,12,0,0,Free
3523,45,1,687,0,0,Free
2321,6,1,55,0,0,Free
1424,6,8,41,5,0,Free
609,1,2,17,0,0,Free
4753,6,2,43,1,0,Free
3253,1,1,5,0,0,Free
